x,y,z
0.0,0.0,0.793
0.0,0.0,0.7872857142857144
0.0,0.0,0.7815714285714286
0.0,0.0,0.7758571428571429
0.0,0.0,0.7701428571428571
0.0,0.0,0.7644285714285715
0.0,0.0,0.7587142857142858
0.0,0.0,0.753
0.0,0.0,0.7472857142857143
0.0,0.0,0.7415714285714285
0.0,0.0,0.7358571428571429
0.0,0.0,0.7301428571428572
0.0,0.0,0.7244285714285714
0.0,0.0,0.7187142857142857
0.0,0.0,0.7130000000000001
0.0,0.0,0.7072857142857143
0.0,0.0,0.7015714285714286
0.0,0.0,0.6958571428571428
0.0,0.0,0.6930000000000001
0.0,0.0,0.6930000000000001
0.0,0.0,0.6930000000000001
0.0,0.0,0.6930000000000001
0.0,0.0,0.6930000000000001
0.0,0.0,0.6930000000000001
0.0,0.0,0.6930000000000001
0.0,0.0,0.6930000000000001
0.0,0.0,0.6930000000000001
0.0,0.0,0.6930000000000001
0.0,0.0,0.6930000000000001
0.0,0.0,0.6930000000000001
0.0,0.0,0.6930000000000001
0.0,0.0,0.6930000000000001
0.0,0.0,0.6930000000000001
0.0,0.0,0.695857142857143
0.0,0.0,0.7015714285714286
0.0,0.0,0.7072857142857143
0.0,0.0,0.7130000000000001
0.0,0.0,0.7187142857142857
0.0,0.0,0.7244285714285714
0.0,0.0,0.7301428571428572
0.0,0.0,0.7358571428571429
0.0,0.0,0.7415714285714285
0.0,0.0,0.7472857142857143
0.0,0.0,0.753
0.0,0.0,0.7587142857142858
0.0,0.0,0.7644285714285715
0.0,0.0,0.7701428571428572
0.0,0.0,0.7758571428571429
0.0,0.0,0.7815714285714286
0.0,0.0,0.7872857142857144
0.0,0.0,0.793
